row_count,gb_char,utf_bytes,unicode_id,unknown
1861,草,B2DD,8349,E88D89
1862,厕,B2DE,5395,E58E95
1863,策,B2DF,7B56,E7AD96
1864,侧,B2E0,4FA7,E4BEA7
1865,册,B2E1,518C,E5868C
1866,测,B2E2,6D4B,E6B58B
1867,层,B2E3,5C42,E5B182
1868,蹭,B2E4,8E6D,E8B9AD
1869,插,B2E5,63D2,E68F92
1870,叉,B2E6,53C9,E58F89
1871,茬,B2E7,832C,E88CAC
1872,茶,B2E8,8336,E88CB6
1873,查,B2E9,67E5,E69FA5
1874,碴,B2EA,78B4,E7A2B4
1875,搽,B2EB,643D,E690BD
1876,察,B2EC,5BDF,E5AF9F
1877,岔,B2ED,5C94,E5B294
1878,差,B2EE,5DEE,E5B7AE
1879,诧,B2EF,8BE7,E8AFA7
1880,拆,B2F0,62C6,E68B86
1881,柴,B2F1,67F4,E69FB4
1882,豺,B2F2,8C7A,E8B1BA
1883,搀,B2F3,6400,E69080
1884,掺,B2F4,63BA,E68EBA
1885,蝉,B2F5,8749,E89D89
1886,馋,B2F6,998B,E9A68B
1887,谗,B2F7,8C17,E8B097
1888,缠,B2F8,7F20,E7BCA0
1889,铲,B2F9,94F2,E993B2
1890,产,B2FA,4EA7,E4BAA7
1891,阐,B2FB,9610,E99890
1892,颤,B2FC,98A4,E9A2A4
1893,昌,B2FD,660C,E6988C
1894,猖,B2FE,7316,E78C96
1901,场,B3A1,573A,E59CBA
1902,尝,B3A2,5C1D,E5B09D
1903,常,B3A3,5E38,E5B8B8
1904,长,B3A4,957F,E995BF
1905,偿,B3A5,507F,E581BF
1906,肠,B3A6,80A0,E882A0
1907,厂,B3A7,5382,E58E82
1908,敞,B3A8,655E,E6959E
1909,畅,B3A9,7545,E79585
1910,唱,B3AA,5531,E594B1
1911,倡,B3AB,5021,E580A1
1912,超,B3AC,8D85,E8B685
1913,抄,B3AD,6284,E68A84
1914,钞,B3AE,949E,E9929E
1915,朝,B3AF,671D,E69C9D
1916,嘲,B3B0,5632,E598B2
1917,潮,B3B1,6F6E,E6BDAE
1918,巢,B3B2,5DE2,E5B7A2
1919,吵,B3B3,5435,E590B5
1920,炒,B3B4,7092,E78292
1921,车,B3B5,8F66,E8BDA6
1922,扯,B3B6,626F,E689AF
1923,撤,B3B7,64A4,E692A4
1924,掣,B3B8,63A3,E68EA3
1925,彻,B3B9,5F7B,E5BDBB
1926,澈,B3BA,6F88,E6BE88
1927,郴,B3BB,90F4,E983B4
1928,臣,B3BC,81E3,E887A3
1929,辰,B3BD,8FB0,E8BEB0
1930,尘,B3BE,5C18,E5B098
1931,晨,B3BF,6668,E699A8
1932,忱,B3C0,5FF1,E5BFB1
1933,沉,B3C1,6C89,E6B289
1934,陈,B3C2,9648,E99988
1935,趁,B3C3,8D81,E8B681
1936,衬,B3C4,886C,E8A1AC
1937,撑,B3C5,6491,E69291
1938,称,B3C6,79F0,E7A7B0
1939,城,B3C7,57CE,E59F8E
1940,橙,B3C8,6A59,E6A999
1941,成,B3C9,6210,E68890
1942,呈,B3CA,5448,E59188
1943,乘,B3CB,4E58,E4B998
1944,程,B3CC,7A0B,E7A88B
1945,惩,B3CD,60E9,E683A9
1946,澄,B3CE,6F84,E6BE84
1947,诚,B3CF,8BDA,E8AF9A
1948,承,B3D0,627F,E689BF
1949,逞,B3D1,901E,E9809E
1950,骋,B3D2,9A8B,E9AA8B
1951,秤,B3D3,79E4,E7A7A4
1952,吃,B3D4,5403,E59083
1953,痴,B3D5,75F4,E797B4
1954,持,B3D6,6301,E68C81
1955,匙,B3D7,5319,E58C99
1956,池,B3D8,6C60,E6B1A0
1957,迟,B3D9,8FDF,E8BF9F
1958,弛,B3DA,5F1B,E5BC9B
1959,驰,B3DB,9A70,E9A9B0
1960,耻,B3DC,803B,E880BB
1961,齿,B3DD,9F7F,E9BDBF
1962,侈,B3DE,4F88,E4BE88
1963,尺,B3DF,5C3A,E5B0BA
1964,赤,B3E0,8D64,E8B5A4
1965,翅,B3E1,7FC5,E7BF85
1966,斥,B3E2,65A5,E696A5
1967,炽,B3E3,70BD,E782BD
1968,充,B3E4,5145,E58585
1969,冲,B3E5,51B2,E586B2
1970,虫,B3E6,866B,E899AB
1971,崇,B3E7,5D07,E5B487
1972,宠,B3E8,5BA0,E5AEA0
1973,抽,B3E9,62BD,E68ABD
1974,酬,B3EA,916C,E985AC
1975,畴,B3EB,7574,E795B4
1976,踌,B3EC,8E0C,E8B88C
1977,稠,B3ED,7A20,E7A8A0
1978,愁,B3EE,6101,E68481
1979,筹,B3EF,7B79,E7ADB9
1980,仇,B3F0,4EC7,E4BB87
1981,绸,B3F1,7EF8,E7BBB8
1982,瞅,B3F2,7785,E79E85
1983,丑,B3F3,4E11,E4B891
1984,臭,B3F4,81ED,E887AD
1985,初,B3F5,521D,E5889D
1986,出,B3F6,51FA,E587BA
1987,橱,B3F7,6A71,E6A9B1
1988,厨,B3F8,53A8,E58EA8
